Error,ActionRecommended
503 Service Unavailable: Backends unhealthy,"Check your [Load Balancer Target Group](https://docs.aws.amazon.com) health check path and port configuration."
Write error: No space left on device (on a non-full disk),"Check for [Inode Exhaustion](https://linux.die.net) using 'df -i'; delete numerous small files or session logs to free up space."
RouteTable: Blackhole destination detected,"Update your [VPC Route Table](https://docs.aws.amazon.com) to point to an active Internet Gateway or NAT Gateway."
FATAL: remaining connection slots are reserved for non-replication superuser connections,"Increase 'max_connections' in [postgresql.conf](https://www.postgresql.org) or implement a connection pooler like [PgBouncer](https://www.pgbouncer.org)."
Pipeline failed: No space left on device (CI runner),"Clear the [Docker build cache](https://docs.docker.com) or increase the ephemeral storage of your [GitHub Actions](https://docs.github.com) or GitLab runner."
PostgreSQL: autovacuum not keeping up with bloat,"Tune 'autovacuum_vacuum_scale_factor' and 'autovacuum_cost_limit' to trigger [vacuuming](https://www.postgresql.org) more frequently on high-write tables."
CI/CD: Script failed with exit code 127,"Ensure the binary or tool (e.g., 'npm' or 'aws') is installed in the [CI container image](https://docs.gitlab.com) and added to the PATH."
MySQL: Error 1205 (HY000): Lock wait timeout exceeded,"Optimize long-running queries or increase 'innodb_lock_wait_timeout' in the [MySQL configuration](https://dev.mysql.com)."
GitLab: Job is stuck: No runner is online,"Verify that the [GitLab Runner service](https://docs.gitlab.com) is started and the registration token matches the project settings."
Slow Query: Sequential scan on large table,"Create a [B-tree Index](https://www.postgresql.org) on the columns used in the WHERE clause to avoid full table scans."
Terraform: Error acquiring the state lock,"Force unlock the state using [terraform force-unlock](https://developer.hashicorp.com) if the previous process crashed or was interrupted."
MySQL: Server has gone away (Error 2006),"Increase 'max_allowed_packet' in [my.cnf](https://dev.mysql.com) to handle large BLOBs or long-running imports."
Jenkins: java.lang.OutOfMemoryError: Java heap space,"Increase the [JENKINS_JAVA_OPTIONS](https://www.jenkins.io) to allocate more RAM to the JVM (e.g., -Xmx2g)."
SyntaxError: invalid syntax,"Check the indicated line for missing colons (:), unclosed parentheses, or misspelled Python keywords."
IndentationError: expected an indented block,"Ensure the line following a function, loop, or if-statement has exactly 4 spaces of indentation."
TabError: inconsistent use of tabs and spaces,"Standardize your script by converting all tabs to 4 spaces using your editor settings or [Autopep8](https://pypi.org)."
NameError: name '{name}' is not defined,"Check for typos in the variable name and ensure it is assigned a value before being called in the current scope."
TypeError: can only concatenate str (not 'int') to str,"Wrap the numeric variable in [str()](https://docs.python.org) before joining it with other text strings."
ValueError: invalid literal for int() with base 10,"Verify the string contains only numbers; use the [.isdigit()](https://docs.python.org) method to validate data before conversion."
IndexError: list index out of range,"Check the list length using [len()](https://docs.python.org) and ensure the index is between 0 and length minus one."
KeyError: '{key}',"Use the [.get()](https://docs.python.org) method to retrieve dictionary values, providing a default value if the key is missing."
AttributeError: '{type}' object has no attribute '{attr}',"Verify the object type and check for typos in the method name; use `dir(object)` to see valid attributes."
ModuleNotFoundError: No module named '{module}',"Install the missing package via terminal using [pip install](https://pip.pypa.io) and verify your virtual environment."
FileNotFoundError: [Errno 2] No such file or directory,"Check the file path for typos and use [os.path.abspath()](https://docs.python.org) to confirm the script's looking in the right folder."
ZeroDivisionError: division by zero,"Add a logic check `if divisor != 0:` before performing the math operation to handle null or zero values."
PermissionError: [Errno 13] Permission denied,"Close the file in other programs like Excel or ensure your script has the necessary [OS permissions](https://docs.python.org) to write to the folder."
UnicodeDecodeError: 'utf-8' codec can't decode byte,"Specify the correct encoding (e.g., `encoding='latin1'`) in the [open()](https://docs.python.org) function when reading non-UTF8 files."
RecursionError: maximum recursion depth exceeded,"Check your recursive function for a valid base case to prevent infinite loops, or use [sys.setrecursionlimit](https://docs.python.org)."
MemoryError: Unable to allocate GiB,"Process large datasets in chunks using the `chunksize` parameter in [Pandas](https://pandas.pydata.org)."
UnboundLocalError: local variable referenced before assignment,"Ensure the variable is defined within the local scope or use the `global` keyword if modifying a variable from the outer scope."
StopIteration: iterator exhausted,"Wrap the `next()` call in a try-except block or provide a default value like `next(iterator, None)`."
JSONDecodeError: Expecting value: line 1 column 1,"Verify the API response or file content is valid JSON; check for empty strings or HTML error pages being returned."
OverflowError: integer too large to convert to float,"Use the [Decimal module](https://docs.python.org) for high-precision math or handle extremely large numbers as strings."
IndexError: list index out of range,"Verify the list length using [len()](https://docs.python.org) and ensure the index is between 0 and (length - 1)."
KeyError: 'column_name',"Review the list of mandatory attributes and ensure the column name in your code matches the CSV header exactly (watch for hidden spaces)."
FileNotFoundError: [Errno 2] No such file or directory,"Check the file path for typos and use [os.path.abspath()](https://docs.python.org) to confirm the script is looking in the right folder."
ImportError: cannot import name 'X' from 'Y',"Check for circular imports where two files try to import each other, or verify that 'X' actually exists in the [module's documentation](https://docs.python.org)."
AttributeError: 'NoneType' object has no attribute 'X',"Ensure the function returning your data actually succeeded; add a check `if data is not None:` before accessing attributes."
pandas.errors.ParserError: Error tokenizing data,"Verify the delimiter (e.g., , vs ;) and ensure no rows have extra commas. Use `on_bad_lines='warn'` in [pandas.read_csv](https://pandas.pydata.org)."
StopIteration: Raised by next() when iterator is exhausted,"Wrap your iterator logic in a try-except block or provide a default value: `next(my_iterator, None)`."
OverflowError: Python int too large to convert to C int,"Use the [decimal module](https://docs.python.org) or ensure you are not passing excessively large integers to a library expecting a standard integer."
Incomplete final line warning,"Ensure the last line of your CSV file ends with a linefeed (\n) or carriage return (\r\n) character to prevent [pandas](https://pandas.pydata.org) from skipping the final row."
Disallowed characters in column {column},"Find and strip non-printing or POSIX non-compliant characters from your data using the [re module](https://docs.python.org) to apply a regex filter."
ModuleNotFoundError: No module named 'numpy',"Install the missing dependency via your terminal using [pip install numpy](https://pypi.org) and restart your IDE."
SyntaxError: EOL while scanning string literal,"Check for unclosed quotes in your CSV processing script or ensure string values don't contain unescaped line breaks."
NotADirectoryError: [Errno 20] Not a directory,"Verify that the path provided points to a folder and not a specific file when using functions like [os.listdir()](https://docs.python.org#os.listdir)."
IsADirectoryError: [Errno 21] Is a directory,"Check that the path provided to [open()](https://docs.python.org) points to a file and not a folder."
BrokenPipeError: [Errno 32] Broken pipe,"Ensure the downstream process or network socket is still open before attempting to write more data to it."
ConnectionRefusedError: [Errno 111] Connection refused,"Check if the target server is running and that you are using the correct port and [IP address](https://docs.python.org)."
TimeoutError: [Errno 110] Connection timed out,"Increase the timeout value in your request or check your network connectivity/firewall settings."
IndentationError: unindent does not match any outer indentation level,"Check the spacing of your return or control flow statements; they must align exactly with the opening statement of the block."
FloatingPointError: floating point exception,"Enable error checking in [numpy](https://numpy.org) using `np.seterr(all='raise')` to identify where invalid math is happening."
GeneratorExit: generator ignored GeneratorExit,"Ensure you are not performing long-running operations or nested yields inside a generator's `finally` block when it is being closed."
SystemError: parent module '' not loaded cannot perform relative import,"Use absolute imports or ensure you are running your script as a module using the `-m` flag (e.g., `python -m my_package.my_script`)."
RuntimeError: generator raised StopIteration,"Check your [generator function](https://docs.python.org) for a return statement that is unintentionally triggering an early exit."
NotImplementedError: method not defined,"Define the required method in your subclass or ensure you are not calling an [abstract base class](https://docs.python.org) directly."
LookupError: unknown encoding: '{encoding}',"Verify the encoding string passed to [codecs.open()](https://docs.python.org) matches standard IANA names (e.g., 'utf-8', 'cp1252')."
BufferError: Object has exported buffers,"Release any existing [memoryview](https://docs.python.org) or buffer objects before attempting to resize or close the underlying data structure."
EOFError: EOF when reading a line,"Ensure the input stream is not empty or provide a default value when using [input()](https://docs.python.org) in non-interactive scripts."
BlockingIOError: [Errno 11] Resource temporarily unavailable,"Implement a retry mechanism or use [select.select()](https://docs.python.org) to wait until the non-blocking socket is ready for data."
ChildProcessError: [Errno 10] No child processes,"Verify the process ID (PID) exists before calling [os.wait()](https://docs.python.org) or check if the process has already been reaped."
ConnectionAbortedError: [Errno 103] Connection aborted by software,"Check for server-side timeouts or firewall rules that might be killing idle connections in your [socket](https://docs.python.org) logic."
FileExistsError: [Errno 17] File exists,"Use `os.makedirs(path, exist_ok=True)` or check if the destination file exists before attempting to [create a new one](https://docs.python.org)."
InterruptedError: [Errno 4] Interrupted system call,"Wrap system calls in a loop to restart them if a [signal handler](https://docs.python.org) interrupts the execution."
IsADirectoryError: [Errno 21] Is a directory,"Ensure the path passed to [open()](https://docs.python.org) points to a specific filename and not a folder path."
ProcessLookupError: [Errno 3] No such process,"Verify the PID is correct and that the process hasn't already terminated before sending a signal via [os.kill()](https://docs.python.org)."
ReferenceError: weak object read after garbage collection,"Check if the object being tracked by a [weakref](https://docs.python.org) is still in scope before attempting to access it."
SyntaxError: 'return' outside function,"Ensure all `return` statements are nested inside a `def` block; use `sys.exit()` if trying to end a script at the top level."
SyntaxError: 'yield' outside function,"Move the `yield` statement inside a function definition to correctly create a [generator](https://docs.python.org)."
SyntaxError: unexpected EOF while parsing,"Check for missing closing parentheses `)` or brackets `]` at the very end of your script file."
TypeError: '{type}' object is not callable,"Check for variable/function name collisions (e.g., naming a variable `list` and then trying to call `list()`)."
TypeError: missing X required positional arguments,"Verify the function signature and ensure you are passing all mandatory arguments during the [function call](https://docs.python.org)."
ValueError: too many values to unpack (expected X),"Ensure the number of variables on the left side of the assignment matches the length of the [iterable](https://docs.python.org)."
ModuleNotFoundError: No module named 'setuptools',"Install or upgrade the [setuptools](https://pypi.org) package to resolve build-time dependency issues."
ImportError: libX.so: cannot open shared object file,"Install the required system-level libraries (e.g., `apt-get install libx11-6`) that the Python module depends on."
KeyboardInterrupt: user interrupted execution,"Implement a `try...except KeyboardInterrupt:` block to [gracefully shut down](https://docs.python.org) resources when Ctrl+C is pressed."
SystemExit: 1,"Identify which part of the code is calling `sys.exit()` and review the exit code to determine the [nature of the failure](https://docs.python.org)."
TabError: inconsistent use of tabs and spaces in indentation,"Configure your editor to [show invisible characters](https://code.visualstudio.com) to find and replace stray tabs with spaces."
AssertionError: condition is false,"Debug the logic preceding the [assert statement](https://docs.python.org) to understand why the expected state was not met."
ArithmeticError: floating point error,"Use the [math.isfinite()](https://docs.python.org) function to check for NaN or Infinity values before performing complex math."
SyntaxError: illegal target for annotation,"Ensure you are not trying to annotate complex expressions; only simple [variable names](https://docs.python.org) can be annotated."
UnicodeEncodeError: 'ascii' codec can't encode characters,"Set the `PYTHONIOENCODING` environment variable to `utf-8` or use `.encode('utf-8')` before writing to a [restricted stream](https://docs.python.org)."
RuntimeError: dict changed size during iteration,"Create a list of keys using `list(my_dict.keys())` before looping if you need to [modify the dictionary](https://docs.python.org) while iterating."
AttributeError: module 'x' has no attribute 'y',"Check for [shadowing](https://docs.python.org) (e.g., you named your local file `pandas.py`, which is being imported instead of the real library)."
RuntimeError: Set changed size during iteration,"Create a [list()](https://docs.python.org) of the set before looping to avoid errors while adding or removing items."
PendingDeprecationError: {feature} will be removed,"Review the [Python Deprecation Cycle](https://docs.python.org) and update your code to use the newer alternative specified."
BufferError: object has exported buffers,"Release any existing [memoryview](https://docs.python.org) or buffer objects before attempting to modify the underlying data."
ImportError: cannot import name 'X' from partially initialized module 'Y',"Check for [Circular Imports](https://docs.python.org) where two files try to import from each other simultaneously."
ResourceWarning: unclosed file {file},"Use a [context manager](https://docs.python.org) (with open...) to ensure files are automatically closed after use."
FutureWarning: {method} is deprecated and will be removed in a future version,"Update your code to the recommended [Pandas](https://pandas.pydata.org) or Numpy function to maintain compatibility."
SyntaxError: f-string: missing '}',"Check your [f-string](https://docs.python.org) expressions for unclosed curly braces or syntax errors inside the expression."
TypeError: 'async for' requires an object with __aiter__ method,"Ensure the object you are iterating over is an [Asynchronous Iterator](https://docs.python.org)."
RuntimeError: cannot enter context manager more than once,"Review your [with statement](https://docs.python.org) logic; some objects cannot be reused as context managers."
StopAsyncIteration: Raised by __anext__ when iterator is exhausted,"Wrap your async loop logic in a try-except block or ensure the [async generator](https://docs.python.org) has data."
NotADirectoryError: [Errno 20] Not a directory: '{path}',"Verify that the path points to a folder and not a file when using functions like [os.listdir()](https://docs.python.org)."
IsADirectoryError: [Errno 21] Is a directory: '{path}',"Check that the path provided to [open()](https://docs.python.org) points to a file and not a directory."
ConnectionResetError: [Errno 104] Connection reset by peer,"Verify the server state and check for network timeouts using the [socket library](https://docs.python.org)."
FileExistsError: [Errno 17] File exists: '{path}',"Use `os.makedirs(path, exist_ok=True)` or delete the existing file before attempting to [re-create](https://docs.python.org) it."
ProcessLookupError: [Errno 3] No such process,"Verify the Process ID (PID) is still active before sending signals using [os.kill()](https://docs.python.org)."
ChildProcessError: [Errno 10] No child processes,"Ensure the process hasn't already been reaped by [os.wait()](https://docs.python.org) or check your subprocess logic."
BrokenPipeError: [Errno 32] Broken pipe,"Handle cases where the receiving process closes the stream before the sender is finished; use [signal.SIG_IGN](https://docs.python.org)."
InterruptedError: [Errno 4] Interrupted system call,"Restart the system call manually if a [signal handler](https://docs.python.org) interrupts it during execution."
AttributeError: module 'asyncio' has no attribute 'run',"Ensure you are using **Python 3.7+**; for older versions, use `get_event_loop().run_until_complete()` as per [Asyncio docs](https://docs.python.org)."
RuntimeError: Event loop is closed,"Avoid calling async functions after the loop has shut down; use [asyncio.run()](https://docs.python.org) for proper cleanup."
ValueError: signal only works in main thread,"Move signal-handling logic to the [Main Thread](https://docs.python.org) as background threads cannot trap OS signals."
TypeError: Object of type {type} is not JSON serializable,"Convert complex objects like Datetime or Sets into strings or lists before using [json.dumps()](https://docs.python.org)."
ImportError: cannot import name 'soft_unicode' from 'markupsafe',"Upgrade your [Jinja2](https://pypi.org) or MarkupSafe package to fix compatibility with newer Python versions."
SyntaxError: non-default argument follows default argument,"Rearrange your [function signature](https://docs.python.org) so all mandatory arguments come before optional ones."
RuntimeError: This event loop is already running,"Check for nested event loops; use [nest_asyncio](https://pypi.org) if you are running async code inside a Jupyter Notebook."
GeneratorExit: generator ignored GeneratorExit,"Ensure you are not catching the [GeneratorExit](https://docs.python.org) exception and continuing to yield values."
SystemError: error return without exception set,"Check for issues in **C-extensions** or compiled modules; ensure they are returning proper error states to the [Python Interpreter](https://docs.python.org)."
ModuleNotFoundError: No module named 'pip',"Reinstall or repair your [Python environment](https://pip.pypa.io) using `python -m ensurepip`."
TypeError: iteration over non-sequence of type {type},"Verify that the variable in your `for` loop is actually an [Iterable](https://docs.python.org) like a list or dictionary."
AssertionError: list indices must be integers or slices not str,"Check if you are trying to access a **List** using a string key; verify if the variable should have been a **Dictionary**."
RuntimeError: Address already in use,"Check if another instance of your [Flask](https://flask.palletsprojects.com) or [FastAPI](https://fastapi.tiangolo.com) app is already running on the same port; kill the process or change the port."
AttributeError: 'module' object has no attribute 'X',"Check for [Circular Imports](https://docs.python.org) where two files try to import each other, or ensure your local filename doesn't shadow a library name."
TypeError: 'async for' requires an object with __aiter__ method,"Verify that the object you are iterating over is an [Asynchronous Iterator](https://docs.python.org) and not a standard list."
RuntimeError: Generator raised StopIteration,"Ensure your [generator function](https://docs.python.org) does not contain a `return` statement that unintentionally triggers an exit in a `next()` call."
ImportError: cannot import name 'soft_unicode' from 'markupsafe',"Upgrade your [Jinja2](https://pypi.org) or [MarkupSafe](https://pypi.org) package to resolve compatibility issues with newer Python versions."
SyntaxError: non-default argument follows default argument,"Rearrange your [function signature](https://docs.python.org) so all mandatory arguments (without `=` values) come before the optional ones."
ValueError: signal only works in main thread,"Move any [signal handling](https://docs.python.org) logic to the application's Main Thread, as background threads cannot trap OS signals."
RuntimeError: This event loop is already running,"Check for nested event loops; if using Jupyter, install and use [nest_asyncio](https://pypi.org) to allow nested calls."
TypeError: Object of type {type} is not JSON serializable,"Convert custom objects, [Datetime](https://docs.python.org) objects, or Sets into strings or lists before passing them to [json.dumps()](https://docs.python.org)."
BlockingIOError: [Errno 11] Resource temporarily unavailable,"Implement a retry loop or use [select.select()](https://docs.python.org) to wait until the non-blocking socket is ready for data transfer."
ConnectionAbortedError: [Errno 103] Software caused connection abort,"Check for server-side timeouts or firewall rules killing idle connections in your [socket](https://docs.python.org) or database logic."
IsADirectoryError: [Errno 21] Is a directory: '{path}',"Ensure the path passed to [open()](https://docs.python.org) points to a specific file and not just a folder path."
ProcessLookupError: [Errno 3] No such process,"Verify the Process ID (PID) is still active before sending signals like [SIGTERM](https://docs.python.org#module-signal) via [os.kill()](https://docs.python.org)."
StopAsyncIteration: Raised by __anext__ when iterator is exhausted,"Wrap your async loop in a try-except block or ensure the [async generator](https://docs.python.org) has sufficient data."
NotADirectoryError: [Errno 20] Not a directory: '{path}',"Verify that the path points to an actual folder when using directory-traversal functions like [os.listdir()](https://docs.python.org)."
ChildProcessError: [Errno 10] No child processes,"Ensure the child process hasn't already been reaped or terminated before calling [os.wait()](https://docs.python.org)."
BrokenPipeError: [Errno 32] Broken pipe,"Handle cases where the receiving process closes the stream; check [subprocess.PIPE](https://docs.python.org) communication logic."
ResourceWarning: unclosed file <_io.TextIOWrapper>,"Use a [with statement](https://docs.python.org) to ensure file descriptors are automatically released after the block finishes."
FutureWarning: {method} is deprecated,"Update your [Pandas](https://pandas.pydata.org) or [NumPy](https://numpy.org) code to the suggested modern method to maintain future compatibility."
ImportError: libX11.so.6: cannot open shared object file,"Install missing system dependencies via [apt-get install](https://manpages.ubuntu.com) or verify your Docker container includes required GUI libraries."
RuntimeError: dictionary changed size during iteration,"Iterate over a copy of the dictionary keys using `list(my_dict.keys())` if you need to [delete or add](https://docs.python.org) items while looping."
SyntaxError: 'yield' outside function,"Verify that the `yield` keyword is placed within a `def` block to create a [Generator](https://docs.python.org)."
SystemError: parent module '' not loaded,"Run the script using the `-m` flag (e.g., `python -m my_package.script`) to correctly handle [Relative Imports](https://docs.python.org)."
AssertionError: list indices must be integers or slices not str,"Check if you are accidentally treating a **List** like a **Dictionary**; verify the data structure using `type(my_var)`."
MemoryError: Unable to allocate GiB,"Process heavy files line-by-line or use the `chunksize` parameter in [Pandas read_csv](https://pandas.pydata.orgreference/api/pandas.read_csv.html) to lower RAM usage."
TypeError: 'NoneType' object is not iterable,"Check if the preceding function returned `None` due to a failure; add a [Null Check](https://docs.python.org) before starting the loop."
KeyboardInterrupt,"Catch this exception with a `try...except` block to [safely close](https://docs.python.org) database connections or log files when a user hits Ctrl+C."
OverflowError: integer too large to convert to float,"Use the [decimal.Decimal](https://docs.python.org) class for high-precision math when dealing with numbers that exceed standard float limits."
SyntaxError: f-string: empty expression not allowed,"Ensure your [f-string](https://docs.python.org) curly braces `{}` contain a valid variable or expression."
"SyntaxError: invalid syntax","Check for missing colons, mismatched parentheses, or typos in keywords."
"IndentationError: expected an indented block","Ensure all code within loops, functions, and classes is consistently indented with 4 spaces."
"NameError: name 'x' is not defined","Verify that the variable is spelled correctly and was assigned a value before use."
"TypeError: can only concatenate str (not 'int') to str","Convert the non-string type to a string using str() or use f-strings for formatting."
"IndexError: list index out of range","Check if the index being accessed is within the valid range of the list (0 to length-1)."
"KeyError: 'key'","Ensure the key exists in the dictionary or use the .get() method to provide a default value."
"FileNotFoundError: [Errno 2] No such file or directory","Verify the file path is correct and that the file exists in the specified directory."
"ImportError: No module named 'x'","Ensure the library is installed using 'pip install x' and that the name is spelled correctly."
"ValueError: invalid literal for int() with base 10","Ensure the string being converted to an integer contains only numeric characters."
"AttributeError: 'NoneType' object has no attribute 'x'","Check if a function or method unexpectedly returned None instead of an object."
"ZeroDivisionError: division by zero","Add a conditional check to ensure the denominator is not zero before performing division."
"SyntaxError: invalid syntax","Check for missing colons (:), unclosed brackets ((), [], {}), or typos in keywords."
"IndentationError: expected an indented block","Ensure consistent use of 4 spaces for blocks after if, for, while, or def statements."
"NameError: name 'x' is not defined","Verify the variable name is spelled correctly and was assigned a value before being used."
"TypeError: can only concatenate str (not 'int') to str","Convert the integer to a string using str() or use f-strings for formatting."
"IndexError: list index out of range","Check that the index is within the valid range (0 to length-1) of the list or tuple."
"KeyError: 'key'","Confirm the key exists in the dictionary or use the .get() method to provide a default value."
"FileNotFoundError: [Errno 2] No such file or directory","Verify the file path is correct and the file exists in the specified directory."
"ImportError: No module named 'x'","Install the missing library using 'pip install x' and verify the module name's spelling."
"AttributeError: 'NoneType' object has no attribute 'x'","Check if a function or method returned None unexpectedly instead of an object."
"ZeroDivisionError: division by zero","Add a conditional check to ensure the divisor is not zero before performing division."
"SyntaxError: invalid syntax","Check for missing colons (:), unclosed brackets, or typos in keywords."
"NameError: name 'x' is not defined","Verify the variable name is spelled correctly and was assigned a value before use."
"IndexError: list index out of range","Verify that the index is within the valid range (0 to length-1) of the list or tuple."
"KeyError: 'key'","Ensure the key exists in the dictionary or use the .get() method for a default value."
"ValueError: invalid literal for int() with base 10","Check that the string being converted to an integer contains only numeric characters."
"ImportError: No module named 'x'","Install the missing library using 'pip install x' and check the module name's spelling."
"AttributeError: 'NoneType' object has no attribute 'x'","Check if a function unexpectedly returned None instead of the expected object."
"IndexError: list index out of range","Check if the index being accessed is within the valid range of the sequence (0 to length-1)."
"ImportError: No module named 'x'","Install the library using 'pip install x' and verify the module name's spelling."
SyntaxError: invalid syntax,Check for typos missing colons or incorrect indentation
IndentationError: unexpected indent,Ensure consistent use of spaces/tabs for indentation
NameError: name 'x' is not defined,Declare the variable before using it or check spelling
TypeError: unsupported operand type(s),Verify data types and use appropriate conversions
ValueError: invalid literal for int(),Check input values and ensure they match expected format
IndexError: list index out of range,Confirm list length before accessing an index
KeyError: 'key',Ensure the dictionary key exists or use dict.get() with a default
AttributeError: 'object' has no attribute,Check object type and attribute spelling
ImportError: No module named 'xyz',Install the missing module or check import path
ModuleNotFoundError: No module named 'xyz',Install the module via pip or verify environment
FileNotFoundError: [Errno 2] No such file,Confirm file path and existence before opening
ZeroDivisionError: division by zero,Add checks to prevent division by zero
"SyntaxError: invalid syntax","Check for missing colons, unclosed brackets or keyword typos."
"IndentationError: expected an indented block","Ensure consistent 4-space indentation after if/for/def statements."
"NameError: name 'x' is not defined","Verify variable spelling and ensure it was assigned before use."
"TypeError: can only concatenate str (not 'int') to str","Wrap the variable in str() or use an f-string to format."
"IndexError: list index out of range","Check if the index is within the valid range (0 to length-1)."
"KeyError: 'key'","Confirm the key exists or use .get() to provide a default value."
"ValueError: invalid literal for int()","Ensure the string being converted contains only numeric digits."
"FileNotFoundError: [Errno 2]","Verify the file path and ensure the file exists in that directory."
"ImportError: No module named 'x'","Install the package via pip and check for typos in the import statement."
"AttributeError: 'NoneType' object has no attribute 'x'","Ensure the preceding function didn't return None unexpectedly."
"ZeroDivisionError: division by zero","Add a check to ensure the divisor is not zero before calculating."
"KeyError: 'key'","Confirm the key exists in the dictionary or use the .get() method for a default value."
"ValueError: invalid literal for int()","Ensure the string being converted to an integer contains only numeric characters."
"FileNotFoundError: [Errno 2]","Verify the file path is correct and the file exists in the specified directory."
"UnboundLocalError: local variable referenced before assignment","Ensure the local variable is assigned a value before it is accessed within a function."
"ModuleNotFoundError: No module named 'x'","Ensure the package is installed in your current environment and the name is correct."
"PermissionError: [Errno 13] Permission denied","Check if the file is open in another program or if you have the necessary system permissions."
"RecursionError: maximum recursion depth exceeded","Check for an infinite recursive call or increase the limit using sys.setrecursionlimit()."
"OverflowError: numerical result out of range","Handle extremely large numbers that exceed the capacity of the current numeric type."
"AssertionError","Check the logic of your assert statements to ensure conditions are being met."
"MemoryError","Optimize memory usage by using generators or deleting large objects no longer in use."
"UnicodeDecodeError: 'utf-8' codec can't decode byte","Specify the correct encoding (e.g.'latin-1') when opening files or reading data."
"StopIteration","Ensure your loop or next() call is not attempting to pull items from an exhausted iterator."
SyntaxError: invalid syntax,"Check for missing colons (:) unclosed brackets or typos in keywords."
IndentationError: expected an indented block,"Ensure all code within loops, functions, and classes is consistently indented with 4 spaces."
NameError: name 'x' is not defined,"Verify the variable name is spelled correctly and was assigned a value before use."
TypeError: can only concatenate str (not 'int') to str,"Convert the non-string type to a string using str() or use f-strings for formatting."
IndexError: list index out of range,"Check if the index being accessed is within the valid range of the sequence (0 to length-1)."
KeyError: 'key',"Ensure the key exists in the dictionary or use the .get() method to provide a default value."
ValueError: invalid literal for int() with base 10,"Ensure the string being converted to an integer contains only numeric characters."
FileNotFoundError: [Errno 2] No such file or directory,"Verify the file path is correct and the file exists in the specified directory."
ImportError: No module named 'x',"Install the library using 'pip install x' and verify the module name's spelling."
AttributeError: 'NoneType' object has no attribute 'x',"Check if a function unexpectedly returned None instead of the expected object."
ZeroDivisionError: division by zero,"Add a conditional check to ensure the divisor is not zero before performing division."
UnboundLocalError: local variable referenced before assignment,"Ensure the local variable is assigned a value before it is accessed within a function."
ModuleNotFoundError: No module named 'x',"Ensure the package is installed in your current environment and the name is correct."
PermissionError: [Errno 13] Permission denied,"Check if the file is open in another program or if you have the necessary system permissions."
RecursionError: maximum recursion depth exceeded,"Check for an infinite recursive call or increase the limit using sys.setrecursionlimit()."
OverflowError: numerical result out of range,"Handle extremely large numbers that exceed the capacity of the current numeric type."
AssertionError,"Check the logic of your assert statements to ensure conditions are being met."
MemoryError,"Optimize memory usage by using generators or deleting large objects no longer in use."
UnicodeDecodeError: 'utf-8' codec can't decode byte,"Specify the correct encoding (e.g., 'latin-1') when opening files or reading data."
StopIteration,"Ensure your loop or next() call is not attempting to pull items from an exhausted iterator."
TabError: inconsistent use of tabs and spaces in indentation,"Convert all tabs to spaces to maintain consistent formatting across the script."
EOFError: EOF when reading a line,"Check if the input() function is reaching the end of the file unexpectedly."
FloatingPointError: floating point calculation failed,"Check for operations that might result in undefined floating-point values."
BufferError: [Errno 0],"Check for issues during memory buffer operations, often related to large data streams."
LookupError: unknown encoding,"Verify the encoding string provided is a valid standard (e.g., 'utf-8')."
NotImplementedError,"Implement the abstract method or function in your inherited class."
RuntimeError,"Investigate the specific message as this is a general catch-all for runtime logic errors."
SystemError: interpreter detected internal error,"Report the bug to the Python development team if it persists after script fixes."
UnicodeEncodeError,"Ensure the characters being encoded are supported by the target encoding format."
UnicodeTranslateError,"Check the translation table for characters that cannot be mapped to the target encoding."
BrokenPipeError: [Errno 32] Broken pipe,"Handle cases where a process tries to write to a pipe that has been closed by the receiver."
ConnectionAbortedError: [Errno 103],"Retry the connection or check network stability if the host forcibly closed the link."
ConnectionRefusedError: [Errno 111],"Ensure the target server is running and listening on the correct port."
ConnectionResetError: [Errno 104],"Check for network interruptions that may have caused the peer to reset the connection."
FileExistsError: [Errno 17] File exists,"Check for the file's existence before attempting to create a new one with the same name."
InterruptedError: [Errno 4] Interrupted system call,"Retry the system call if it was interrupted by an incoming signal."
IsADirectoryError: [Errno 21] Is a directory,"Ensure the path provided points to a file, not a folder, for file operations."
NotADirectoryError: [Errno 20] Not a directory,"Verify that the path components leading to your file are actual directories."
ProcessLookupError: [Errno 3] No such process,"Ensure the process ID (PID) you are trying to signal or wait for still exists."
TimeoutError: [Errno 110] Connection timed out,"Increase the timeout setting or check the responsiveness of the remote server."
BlockingIOError: [Errno 11] Resource temporarily unavailable,"Wait for the resource to become available or use non-blocking I/O patterns."
ChildProcessError: [Errno 10] No child processes,"Ensure the process has child tasks to wait for before calling wait() functions."
ReferenceError: weakly-referenced object no longer exists,"Check if the object being accessed via a weak reference has been garbage collected."
GeneratorExit,"Ensure any cleanup logic in a generator's try...finally block is handled correctly when closed."
StopAsyncIteration,"Ensure your asynchronous iterator has more items to yield before calling it again."
KeyboardInterrupt,"Add a try...except block to handle manual program termination (Ctrl+C) gracefully."
SystemExit,"Catch this if you need to perform cleanup before the sys.exit() call finishes."
ArithmeticError,"Use this base class to catch all numerical errors (Overflow, ZeroDivision, FloatingPoint)."
EnvironmentError,"Handle errors occurring outside of Python, such as OS or I/O issues."
IOError,"Check for issues during input or output operations, similar to OSError."
SyntaxError: invalid syntax,"Check for missing colons, unclosed brackets, or keyword typos."
IndentationError: expected an indented block,"Ensure consistent 4-space indentation after if/for/def statements."
NameError: name 'x' is not defined,"Verify variable spelling and ensure it was assigned before use."
